Flow Time,Lift Coeff,Tip Displacement
0,0.5227528275358809,9.73
1,0.5062311601798156,51.96
2,0.4807604129367597,141.12
3,0.4682897674645477,273.9
4,0.45531597408121344,439.88
5,0.44258694266024584,627.6
6,0.43103474178770135,826.14
7,0.42107325877422297,1026.03
8,0.41280537820667884,1219.5
9,0.40615640305624684,1400.58
10,0.4009980799338175,1564.91
11,0.3970767208169761,1709.61
12,0.393993471759371,1832.94
13,0.3915561875736548,1934.12
14,0.389780841209387,2013.13
15,0.3880318032326288,2070.71
16,0.387879120626546,2108.2
17,0.3881304596857901,2127.54
18,0.38866508370339703,2131.05
19,0.3893927924936195,2121.18
20,0.390208822299053,2100.4
21,0.39100653019175663,2071.12
22,0.3917455140051975,2035.59
23,0.3923698684159178,1995.9
24,0.39288804969133123,1953.9
25,0.3933089838914858,1911.24
26,0.3936251543342358,1869.31
27,0.3938008567793896,1829.26
28,0.39382998392270385,1791.99
29,0.393728508713738,1758.16
30,0.3935025384567354,1728.22
31,0.3931755627834011,1702.4
32,0.3927541587906125,1680.81
33,0.39225335984266074,1663.36
34,0.3916947764007146,1649.89
35,0.391092032451163,1640.12
36,0.3904662686625404,1633.7
37,0.38982312254645607,1630.25
38,0.389176218089299,1629.34
39,0.3885405886553603,1630.54
40,0.3879284488531266,1633.43
41,0.38735013412054825,1637.61
42,0.38681973823664817,1642.71
43,0.3863428987130356,1648.38
44,0.385921494720247,1654.34
45,0.38555458667301407,1660.32
46,0.38523794643763,1666.13
47,0.3849673458803878,1671.59
48,0.38473714748967824,1676.58
49,0.3845403043759899,1681.0
50,0.38436836027190896,1684.81
51,0.3842189662142648,1687.97
52,0.3840878940693506,1690.49
53,0.3839798417635074,1692.39
54,0.3838971582599056,1693.69
55,0.38383655501010655,1694.46
56,0.3837905153319647,1694.75
57,0.3837566902623094,1694.63
58,0.38373226104533614,1694.17
59,0.3837144089252403,1693.43
60,0.3836984359756809,1692.49
61,0.38368199323348734,1691.4
62,0.383661792150221,1690.22
63,0.3836368931406136,1689.0
64,0.38360588682676294,1687.78
65,0.3835711221718395,1686.59
66,0.3835307200053068,1685.47
67,0.38348655949770133,1684.43
68,0.38343723127112067,1683.49
69,0.383387433251906,1682.66
70,0.3833399841958618,1681.95
71,0.383299112236695,1681.36
72,0.3832652871670397,1680.88
73,0.3832403881574324,1680.5
74,0.38323193189001853,1680.21
75,0.38325401214382127,1679.94
76,0.38329394451771986,1679.69
77,0.38334609150010507,1679.45
78,0.38340575516463593,1679.22
79,0.38346964696287367,1679.01
80,0.38353306896847733,1678.82
81,0.3835913232551058,1678.64
82,0.38363924210378414,1678.48
83,0.383671188002903,1678.34
84,0.38368575157456014,1678.22
85,0.383680583855585,1678.12
86,0.3836566244312459,1678.04
87,0.3836190410205178,1677.98
88,0.38357347113501,1677.94
89,0.383526961664234,1677.93
90,0.3834860897050672,1677.94
91,0.38345743235438706,1677.97
92,0.38344286878272993,1678.02
93,0.383443338575364,1678.1
94,0.38345931152492346,1678.19
95,0.3834907876314082,1678.31
96,0.38353400855374553,1678.45
97,0.3835866253287648,1678.61
98,0.38364487961539334,1678.79
99,0.3837045432799242,1678.98
100,0.3837623277739186,1679.2
101,0.38381588413420614,1679.43
102,0.3838647425681526,1679.68
103,0.3839103124536604,1679.95
104,0.3839521239980954,1680.23
105,0.38399158657935994,1680.53
106,0.3840315189532585,1680.84
107,0.3840780284240345,1681.17
108,0.38413581291802895,1681.51
109,0.3842053422278759,1681.86
110,0.3842823882198685,1682.23
111,0.3843514477370813,1682.61
112,0.3843932592815163,1683.0
113,0.3843937290741504,1683.4
114,0.3843420518843993,1683.81
115,0.38424480480914036,1684.22
116,0.3841245378948105,1684.64
117,0.3840202439300401,1685.07
118,0.3839807813487756,1685.5
119,0.38406064609657276,1685.92
120,0.3843016497178666,1686.35
121,0.38471647661377784,1686.77
122,0.3852900934200152,1687.19
123,0.3859877354816552,1687.62
124,0.38677228918060397,1688.05
125,0.38762214405569273,1688.48
126,0.38853917927745796,1688.92
127,0.3895295021501429,1689.35
128,0.3906208304391596,1689.8
129,0.3915449125504364,1690.25
130,0.39723457114203403,1690.71
131,0.41187706796169515,1691.2
132,0.432418750887763,1691.7
133,0.4547536322981945,1692.24
134,0.4756786660136888,1692.82
135,0.492641938445809,1693.44
136,0.5075973171597814,1694.14
137,0.5191833431019812,1694.92
138,0.5249702487688378,1695.63
139,0.5234438925006435,1695.99
140,0.5088854885624865,1695.85
141,0.4794036518094759,1695.33
142,0.4421537938516047,1694.67
143,0.4049603110098256,1694.15
144,0.3753121676643433,1693.94
145,0.35773111791838014,1694.09
146,0.35042208411703624,1694.49
147,0.3497803473788542,1694.91
148,0.35201562073190695,1695.18
149,0.3538637849544604,1695.29
150,0.35492222775909005,1695.32
151,0.35555409885195594,1695.31
152,0.35618456056691955,1695.19
153,0.3571138103971714,1694.9
154,0.3584625850496755,1694.3
155,0.36016934168936454,1693.31
156,0.3621030081713244,1691.86
157,0.3641390894475183,1689.93
158,0.36612537270449746,1687.53
159,0.3679307857973478,1684.68
160,0.36947546397827197,1681.41
161,0.3707608166251724,1677.73
162,0.3718357021719956,1673.69
163,0.37277058951385666,1669.3
164,0.37362091418157956,1664.62
165,0.3744068772584306,1659.69
166,0.3751416329381646,1654.58
167,0.37584115417034103,1649.34
168,0.3765279910013967,1644.04
169,0.37721623721035474,1638.73
170,0.37790730217511737,1633.47
171,0.3786054140293915,1628.32
172,0.37929741857942234,1623.33
173,0.37997204080199143,1618.56
174,0.3806227036002214,1614.06
175,0.38126115178996467,1609.88
176,0.38188550620068495,1606.06
177,0.38247321678594537,1602.63
178,0.383010659559357,1599.62
179,0.38347904281555567,1597.07
180,0.3838685009092255,1595.0
181,0.384173396328757,1593.41
182,0.3843946686594186,1592.32
183,0.38453513665701483,1591.73
184,0.3846051357594959,1591.63
185,0.3846192295385189,1592.02
186,0.38459292115100924,1592.9
187,0.38453607624228303,1594.23
188,0.38445386253131536,1596.01
189,0.3843519175297154,1598.21
190,0.3842386975048971,1600.81
191,0.3841240681021764,1603.77
192,0.3840108480773581,1607.08
193,0.383899037430442,1610.71
194,0.3837867569908919,1614.62
195,0.38367447655134174,1618.78
196,0.38356078673388927,1623.16
197,0.3834405198195594,1627.74
198,0.3833070987114747,1632.49
199,0.3831539463127578,1637.37
200,0.3829824720013109,1642.36
201,0.382796903910841,1647.44
202,0.38260147017505497,1652.58
203,0.38239711037922103,1657.75
204,0.3821814755601686,1662.93
205,0.381955505303166,1668.09
206,0.3817220183640178,1673.22
207,0.3814852428764309,1678.3
208,0.38124517884040526,1683.3
209,0.3809999470854045,1688.21
210,0.3807500174040628,1693.01
211,0.38049820855218464,1697.7
212,0.38025062783401337,1702.24
213,0.3800110335906218,1706.64
214,0.3797775466514736,1710.87
215,0.3795473482607641,1714.93
216,0.37932137800376153,1718.81
217,0.37910762235524553,1722.49
218,0.378909839656289,1725.97
219,0.3787294392847942,1729.24
220,0.3785617233144201,1732.29
221,0.3784085709157032,1735.12
222,0.3782742102223503,1737.71
223,0.37815864123436144,1740.07
224,0.37806092436646843,1742.19
225,0.37797636169233023,1744.06
